Longitude,Latitude,Date,ID
-106.432281,30.370728,2007.04.12,2259
-112.524853,31.801397,2007.04.12,2260
-108.650994,30.893283,2007.04.13,2261
-106.424858,30.553278,2007.04.15,2262
-108.638394,31.185828,2007.04.16,2263
-106.395639,29.717353,2007.04.16,2264
-106.13975,28.667089,2007.04.16,2265
-107.007308,31.214439,2007.04.21,2266
-106.389922,30.500931,2007.04.21,2267
-108.346503,31.201742,2007.04.21,2268
-107.003439,31.423939,2007.04.24,2269
-107.573944,30.872389,2007.05.05,2270
-109.951414,35.056514,2007.06.06,2271
-112.201183,36.886519,2007.10.17,2272
-105.385339,33.649039,2007.10.17,2273
-111.313444,37.00505,2007.12.21,2274
-111.9797,36.712319,2007.12.21,2275
-107.235939,31.070622,2007.12.25,2276
-106.458178,30.724033,2007.12.25,2277
-106.024144,29.695331,2007.12.27,2278
-106.516669,30.811197,2008.01.06,2279
-107.822453,31.198972,2008.01.07,2280
-107.096483,30.8987,2008.01.07,2281
-102.569817,32.617375,2008.02.23,2282
-102.756867,32.503561,2008.02.25,2283
-108.215719,31.148942,2008.03.02,2284
-107.367358,29.776736,2008.03.05,2285
-106.398097,29.316192,2008.03.05,2286
-106.175908,29.056983,2008.03.05,2287
-105.564728,35.587453,2008.03.13,2288
-108.508336,31.14245,2008.03.14,2289
-106.430506,33.125203,2008.03.14,2290
-106.611056,29.429647,2008.03.14,2291
-102.904744,33.397086,2008.03.14,2292
-102.353078,32.450344,2008.03.14,2293
-106.2363,28.74305,2008.03.16,2294
-107.849839,29.757522,2008.03.16,2295
-108.450442,31.192933,2008.04.09,2296
-108.029528,31.173311,2008.04.09,2297
-106.518481,30.556239,2008.04.09,2298
-106.357267,29.610508,2008.04.09,2299
-108.110861,32.467608,2008.04.10,2300
-106.319183,30.814914,2008.04.10,2301
-105.664692,34.703461,2008.04.10,2302
-102.995967,33.258461,2008.04.10,2303
-111.221325,36.2611,2008.04.15,2304
-109.980472,36.034278,2008.04.15,2305
-108.813175,35.968139,2008.04.15,2306
-108.091681,31.277489,2008.04.16,2307
-107.148233,31.650103,2008.04.20,2308
-107.12065,31.69755,2008.04.23,2309
-102.829283,32.764589,2008.04.24,2310
-108.048367,31.262808,2008.04.30,2311
-108.755994,35.764425,2008.04.30,2312
-111.534331,36.181194,2008.04.30,2313
-111.001164,35.148928,2008.04.30,2314
-107.955939,31.170142,2008.05.01,2315
-107.951039,32.35315,2008.05.01,2316
-106.780497,32.829853,2008.05.01,2317
-102.415094,30.541769,2008.05.01,2318
-103.021131,33.647428,2008.05.01,2319
-102.614261,33.350636,2008.05.01,2320
-108.488453,31.153261,2008.05.06,2321
-108.633869,31.140692,2008.05.12,2322
-106.666856,33.137078,2008.05.12,2323
-108.446897,31.156814,2008.05.13,2324
-109.99245,32.351936,2008.05.21,2325
-108.365536,31.181928,2008.05.21,2326
-107.853322,32.442683,2008.05.21,2327
-104.321311,29.293344,2008.05.22,2328
-107.815919,31.472503,2008.05.22,2329
-107.971839,31.341803,2008.05.23,2330
-108.662306,31.110889,2008.06.04,2331
-107.849742,32.179317,2008.06.05,2332
-106.602539,29.594283,2008.12.08,2333
-106.733464,30.787567,2008.12.08,2334
-105.769764,30.530047,2008.12.08,2335
-103.892119,32.547606,2008.12.14,2336
-104.308122,29.230153,2009.02.10,2337
-106.106414,29.544456,2009.02.10,2338
-112.724922,38.742225,2009.03.04,2339
-109.152353,34.631772,2009.03.05,2340
-105.544219,35.153922,2009.03.07,2341
-111.363564,36.963258,2009.03.22,2342
-110.730694,35.032231,2009.03.22,2343
-108.717864,31.142439,2009.03.26,2344
-111.799239,36.714819,2009.03.29,2345
-110.95635,35.144647,2009.03.29,2346
-103.969644,32.617158,2009.03.30,2347
-102.947517,33.395847,2009.03.30,2348
-104.785808,32.045931,2009.03.31,2349
-111.213128,39.665928,2009.04.01,2350
-110.554081,34.950653,2009.04.03,2351
-111.572836,36.140531,2009.04.03,2352
-106.427917,34.56765,2009.04.04,2353
-102.490283,32.084089,2009.04.04,2354
-102.872594,32.482169,2009.04.04,2355
-108.742447,35.647667,2009.04.08,2356
-111.009917,34.902528,2009.04.08,2357
-111.123011,35.226664,2009.04.08,2358
-109.702522,36.469053,2009.04.08,2359
-102.669183,33.068194,2009.04.09,2360
-102.830414,34.024364,2009.04.09,2361
-104.796322,32.045428,2009.04.12,2362
-110.938419,35.019303,2009.04.15,2363
-111.667536,36.029875,2009.04.25,2364
-110.764111,34.956006,2009.04.25,2365
-105.517203,34.312822,2009.04.26,2366
-105.264678,33.283536,2009.04.26,2367
-111.505347,36.138986,2009.09.30,2368
-111.031981,35.209242,2009.09.30,2369
-110.923125,34.91185,2009.09.30,2370
-110.791069,35.225825,2009.10.04,2371
-111.265386,35.738333,2009.10.05,2372
-110.017522,35.140889,2009.10.05,2373
-105.306442,32.773231,2009.10.27,2374
-104.592103,28.989403,2010.02.28,2375
-104.784719,30.901022,2010.03.07,2376
-103.245111,30.035889,2010.03.07,2377
-102.723739,29.469236,2010.03.07,2378
-101.319236,29.889525,2010.03.08,2379
-102.709239,33.311881,2010.03.10,2380
-109.69145,32.235942,2010.03.26,2381
-107.901861,31.493,2010.03.26,2382
-107.694361,31.054267,2010.03.26,2383
-107.250608,30.368536,2010.03.26,2384
-110.994878,35.258681,2010.03.31,2385
-110.669461,34.829597,2010.03.31,2386
-108.052003,31.189692,2010.04.01,2387
-107.803453,30.87275,2010.04.01,2388
-107.396269,30.0024,2010.04.01,2389
-111.538919,36.925789,2010.04.05,2390
-110.983108,34.714481,2010.04.05,2391
-110.718572,35.024414,2010.04.12,2392
-108.505975,31.224603,2010.04.22,2393
-104.319164,29.247889,2010.04.22,2394
-104.636325,29.260692,2010.04.23,2395
-108.553075,36.126003,2010.04.24,2396
-111.56305,36.650539,2010.04.28,2397
-110.719825,35.033372,2010.04.28,2398
-108.293247,31.734106,2010.04.29,2399
-104.378544,30.683403,2010.04.29,2400
-108.450239,32.248558,2010.04.29,2401
-110.560614,35.476975,2010.05.05,2402
-108.828017,36.093828,2010.05.05,2403
-110.996169,35.267631,2010.05.06,2404
-111.480422,36.914094,2010.05.09,2405
-110.647472,35.068197,2010.05.09,2406
-102.684536,36.371667,2010.05.10,2407
-104.506414,32.340367,2010.05.10,2408
-103.363319,34.379481,2010.05.10,2409
-111.326214,36.213314,2010.05.11,2410
-110.69825,34.481125,2010.05.11,2411
-108.708164,36.212789,2010.05.11,2412
-105.741075,35.731692,2010.05.11,2413
-110.949544,35.481656,2010.05.21,2414
-108.6186,35.921092,2010.05.21,2415
-105.848481,35.834297,2010.05.21,2416
-111.016917,34.874497,2010.05.22,2417
-108.656764,35.382794,2010.05.22,2418
-105.709017,35.452797,2010.05.22,2419
-111.031747,35.4365,2010.05.23,2420
-108.454003,35.544794,2010.05.23,2421
-105.568444,35.487661,2010.05.23,2422
-110.916661,35.176156,2010.10.07,2423
-109.524844,31.423394,2010.10.07,2424
-108.029247,31.282564,2010.11.28,2425
-107.990811,31.094508,2010.12.30,2426
-109.328481,32.316,2011.02.08,2427
-108.058175,31.143675,2011.02.08,2428
-107.679933,30.891525,2011.02.08,2429
-102.901233,32.998314,2011.02.24,2430
-107.129328,31.424078,2011.02.27,2431
-105.526678,28.776794,2011.02.27,2432
-114.490508,32.383894,2011.03.07,2433
-109.740992,32.567878,2011.03.07,2434
-107.952103,32.253056,2011.03.07,2435
-107.761694,31.221953,2011.03.07,2436
-108.284969,31.106753,2011.03.21,2437
-106.984831,30.806531,2011.03.21,2438
-110.904564,31.992261,2011.04.03,2439
-110.332528,30.959619,2011.04.03,2440
-106.490842,30.603572,2011.04.04,2441
-103.046169,32.885222,2011.04.06,2442
-102.623194,33.296022,2011.04.07,2443
-107.997186,31.276053,2011.04.09,2444
-107.511222,30.385442,2011.04.09,2445
-106.018811,28.838828,2011.04.09,2446
-107.859258,31.714733,2011.04.14,2447
-107.326408,31.764467,2011.04.15,2448
-107.623525,31.787639,2011.04.18,2449
-107.119892,31.688508,2011.04.20,2450
-107.418392,31.248231,2011.04.24,2451
-102.824225,33.236217,2011.04.25,2452
-107.635261,32.150478,2011.04.26,2453
-106.742419,30.768753,2011.04.26,2454
-111.310822,36.405806,2011.04.26,2455
-107.286858,31.549092,2011.04.29,2456
-107.245558,31.433861,2011.04.30,2457
-103.263064,32.179847,2011.05.01,2458
-101.759747,31.391539,2011.05.01,2459
-107.8794,31.249075,2011.05.19,2460
-107.181667,31.547653,2011.05.20,2461
-106.701194,31.04455,2011.05.20,2462
-110.629592,35.415344,2011.05.28,2463
-107.849839,31.269622,2011.05.29,2464
-110.43435,35.526219,2011.05.29,2465
-108.329186,36.316481,2011.05.29,2466
-109.298311,34.019075,2011.06.04,2467
-111.064994,36.713922,2011.10.05,2468
-111.011722,35.375031,2011.10.05,2469
-105.716469,30.187281,2011.11.05,2470
-106.339903,30.813589,2011.11.05,2471
-108.142139,31.145911,2011.11.05,2472
-109.889039,36.269953,2011.11.05,2473
-109.828819,34.786806,2011.11.05,2474
-108.076183,31.224136,2011.11.07,2475
-106.200011,30.895244,2011.11.21,2476
-110.015314,36.375783,2011.11.21,2477
-102.444733,34.459953,2011.11.26,2478
-103.138103,30.794189,2011.11.26,2479
-103.638386,31.5858,2012.01.21,2480
-102.854294,28.736783,2012.01.21,2481
-102.777744,32.176347,2012.01.21,2482
-102.876508,34.403428,2012.01.21,2483
-102.822022,32.238631,2012.02.15,2484
-102.757131,33.147419,2012.02.15,2485
-102.777975,33.445964,2012.02.22,2486
-102.722133,33.057711,2012.02.25,2487
-107.022147,32.159089,2012.03.02,2488
-107.003308,31.805889,2012.03.06,2489
-108.044986,31.226675,2012.03.07,2490
-106.797692,30.273339,2012.03.07,2491
-107.773186,30.884239,2012.03.07,2492
-106.290139,29.678622,2012.03.07,2493
-107.528672,32.494881,2012.03.07,2494
-107.755367,31.267953,2012.03.17,2495
-109.505667,36.768433,2012.03.26,2496
-108.867619,36.425917,2012.03.26,2497
-106.7786,31.6305,2012.03.26,2498
-107.010808,31.641692,2012.03.31,2499
-107.672203,31.392717,2012.04.01,2500
-111.032567,35.518206,2012.04.01,2501
-107.469108,31.590147,2012.04.02,2502
-106.035964,37.732497,2012.04.06,2503
-107.449975,31.491519,2012.04.11,2504
-110.965122,35.589042,2012.04.11,2505
-108.084883,31.205222,2012.04.14,2506
-107.985742,30.812661,2012.04.14,2507
-107.577097,29.943047,2012.04.14,2508
-107.774444,32.167019,2012.04.14,2509
-102.658625,32.742039,2012.04.15,2510
-107.359953,31.543708,2012.04.19,2511
-107.906856,31.3197,2012.04.26,2512
-103.240617,34.030233,2012.04.27,2513
-103.795508,33.213436,2012.04.27,2514
-107.059311,31.465461,2012.05.02,2515
-106.897356,30.885481,2012.05.02,2516
-107.072036,31.619169,2012.05.05,2517
-105.404553,30.6599,2012.05.10,2518
-107.900606,31.365703,2012.05.18,2519
-110.193044,34.551153,2012.05.18,2520
-111.235081,36.277778,2012.05.18,2521
-107.459453,31.599967,2012.05.18,2522
-107.554278,31.601906,2012.05.20,2523
-107.537383,31.648669,2012.05.22,2524
-108.904689,33.118497,2012.05.22,2525
-111.597436,36.93745,2012.05.22,2526
-107.570353,31.546103,2012.05.23,2527
-108.813192,33.362853,2012.05.23,2528
-108.785106,36.296953,2012.05.23,2529
-108.697933,35.742133,2012.05.23,2530
-107.004644,30.923447,2012.05.23,2531
-107.921011,31.245758,2012.05.24,2532
-108.081275,31.278339,2012.05.25,2533
-108.764619,33.212592,2012.05.25,2534
-110.994842,35.640389,2012.05.25,2535
-109.4473,35.87575,2012.05.25,2536
-108.7294,35.630633,2012.05.25,2537
-111.014322,35.392928,2012.05.26,2538
-110.005211,36.549169,2012.05.26,2539
-108.818467,36.013031,2012.05.26,2540
-108.853525,33.631922,2012.05.26,2541
-108.202681,31.231956,2012.05.26,2542
-107.012333,31.532453,2012.05.27,2543
